104.17.144.9:2087#US 联通优选[138ms]
104.17.151.21:2083#US 联通优选[139ms]
104.17.128.127:2083#US 联通优选[140ms]
104.17.147.35:2087#US 联通优选[142ms]
104.17.135.180:2053#US 联通优选[143ms]
104.17.133.91:2083#US 联通优选[143ms]
104.17.136.11:8443#US 联通优选[143ms]
104.17.149.125:2087#US 联通优选[144ms]
104.17.138.79:2053#US 联通优选[176ms]
104.17.139.80:2053#US 联通优选[176ms]
104.17.143.136:2053#US 联通优选[178ms]
104.17.150.213:2053#US 联通优选[182ms]
104.17.140.187:2053#US 联通优选[183ms]
104.17.150.10:2053#US 联通优选[183ms]
104.17.143.191:2053#US 联通优选[186ms]
104.17.135.147:2053#US 联通优选[187ms]
